Case_ID,Activity,Start_Time,End_Time
1192,New,2025-08-26T06:03:40.111,2025-08-26T06:03:46.033
1192,New,2025-08-26T06:03:46.033,2025-08-26T06:03:50.962
1192,New,2025-08-26T06:03:50.962,2025-08-26T06:03:55.861
1192,In Progress,2025-08-26T06:03:55.861,2025-08-26T06:04:00.527
1192,In Progress,2025-08-26T06:04:00.627,2025-08-26T06:04:01.872
1192,In Progress,2025-08-26T06:04:01.872,2025-08-26T06:04:02.545
1192,In Progress,2025-08-26T06:04:02.545,2025-08-26T06:04:03.874
1192,In Progress,2025-08-26T06:04:03.874,2025-08-26T06:04:05.903
1192,In Progress,2025-08-26T06:04:05.903,2025-08-26T06:04:06.702
1192,In Progress,2025-08-26T06:04:06.702,2025-08-26T06:04:07.754
1192,In Progress,2025-08-26T06:04:07.754,2025-08-26T06:04:13.519
1192,In Progress,2025-08-26T06:04:13.519,2025-08-26T06:04:14.209
1192,In Progress,2025-08-26T06:04:14.209,2025-08-26T06:04:16.572
1192,In Progress,2025-08-26T06:04:16.572,2025-08-26T06:04:17.630
1192,In Progress,2025-08-26T06:04:17.630,2025-08-26T06:04:19.008
1192,In Progress,2025-08-26T06:04:19.008,2025-08-26T06:04:21.856
1192,In Progress,2025-08-26T06:04:21.888,2025-08-26T06:04:36.000
1192,In Progress,2025-08-26T06:04:36.000,2025-08-26T06:04:39.827
1192,In Progress,2025-08-26T06:04:39.827,2025-08-26T06:04:47.317
1192,In Progress,2025-08-26T06:04:47.317,2025-08-26T06:04:57.578
1192,In Progress,2025-08-26T06:04:57.578,2025-08-26T06:05:01.813
1192,In Progress,2025-08-26T06:05:01.813,2025-08-26T06:05:08.334
1192,In Progress,2025-08-26T06:05:08.334,2025-08-26T06:05:10.541
1192,In Progress,2025-08-26T06:05:10.541,2025-08-26T06:05:16.210
1192,In Progress,2025-08-26T06:05:16.263,2025-08-26T06:05:21.885
1192,In Progress,2025-08-26T06:05:21.885,2025-08-26T06:05:27.013
1192,Escalated,2025-08-26T06:05:27.013,2025-08-26T06:05:28.168
1192,Escalated,2025-08-26T06:05:42.835,2025-08-26T06:05:48.474
1192,Escalated,2025-08-26T06:05:48.474,2025-08-26T06:05:53.587
1192,In Progress,2025-08-26T06:05:53.587,2025-08-26T06:05:56.903
1192,In Progress,2025-08-26T06:05:56.936,2025-08-26T06:06:10.763
1192,In Progress,2025-08-26T06:06:10.763,2025-08-26T06:06:13.909
1192,In Progress,2025-08-26T06:06:13.909,2025-08-26T06:06:20.922
1192,In Progress,2025-08-26T06:06:20.922,2025-08-26T06:06:27.536
1192,In Progress,2025-08-26T06:06:27.536,2025-08-26T06:06:31.551
1192,In Progress,2025-08-26T06:06:31.551,2025-08-26T06:06:35.885
1192,In Progress,2025-08-26T06:06:35.885,2025-08-26T06:06:40.593
1192,In Progress,2025-08-26T06:06:40.593,2025-08-26T06:06:43.708
1192,In Progress,2025-08-26T06:06:43.708,2025-08-26T06:06:44.513
1192,In Progress,2025-08-26T06:06:44.513,2025-08-26T06:06:49.727
1192,In Progress,2025-08-26T06:06:49.770,2025-08-26T06:06:55.564
1192,Waiting for Customer,2025-08-26T06:06:55.564,2025-08-26T06:07:00.521
1192,Waiting for Customer,2025-08-26T06:07:00.521,2025-08-26T06:07:05.461
1192,Response Received,2025-08-26T06:07:05.461,2025-08-26T06:07:08.862
1192,Response Received,2025-08-26T06:07:16.427,2025-08-26T06:07:22.072
1192,Response Received,2025-08-26T06:07:22.072,2025-08-26T06:07:27.203
1192,Closed,2025-08-26T06:07:27.203,2025-08-26T06:07:32.110
1192,Closed,2025-08-26T06:07:32.110,2025-08-26T06:07:32.910
1196,New,2025-08-26T05:38:41.060,2025-08-26T05:38:46.964
1196,New,2025-08-26T05:38:46.964,2025-08-26T05:38:52.005
1196,New,2025-08-26T05:38:52.005,2025-08-26T05:38:57.030
1196,In Progress,2025-08-26T05:38:57.030,2025-08-26T05:39:02.003
1196,In Progress,2025-08-26T05:39:02.003,2025-08-26T05:39:02.479
1196,In Progress,2025-08-26T05:39:02.545,2025-08-26T05:39:03.905
1196,In Progress,2025-08-26T05:39:03.905,2025-08-26T05:39:05.027
1196,In Progress,2025-08-26T05:39:05.027,2025-08-26T05:39:06.135
1196,In Progress,2025-08-26T05:39:06.135,2025-08-26T05:39:08.146
1196,In Progress,2025-08-26T05:39:08.146,2025-08-26T05:39:09.981
1196,In Progress,2025-08-26T05:39:09.981,2025-08-26T05:39:12.270
1196,In Progress,2025-08-26T05:39:12.270,2025-08-26T05:39:13.752
1196,In Progress,2025-08-26T05:39:13.752,2025-08-26T05:39:15.951
1196,In Progress,2025-08-26T05:39:15.951,2025-08-26T05:39:17.007
1196,In Progress,2025-08-26T05:39:17.007,2025-08-26T05:39:20.940
1196,In Progress,2025-08-26T05:39:20.992,2025-08-26T05:39:46.550
1196,In Progress,2025-08-26T05:39:46.550,2025-08-26T05:40:01.617
1196,In Progress,2025-08-26T05:40:01.617,2025-08-26T05:40:12.590
1196,In Progress,2025-08-26T05:40:12.590,2025-08-26T05:40:17.351
1196,In Progress,2025-08-26T05:40:17.351,2025-08-26T05:40:19.631
1196,In Progress,2025-08-26T05:40:19.631,2025-08-26T05:40:26.375
1196,In Progress,2025-08-26T05:40:26.375,2025-08-26T05:40:32.406
1196,In Progress,2025-08-26T05:40:32.406,2025-08-26T05:40:38.082
1196,In Progress,2025-08-26T05:40:38.082,2025-08-26T05:40:42.207
1196,In Progress,2025-08-26T05:40:42.207,2025-08-26T05:40:46.465
1196,In Progress,2025-08-26T05:40:46.465,2025-08-26T05:40:49.143
1196,In Progress,2025-08-26T05:40:49.143,2025-08-26T05:40:57.321
1196,In Progress,2025-08-26T05:40:57.321,2025-08-26T05:40:59.918
1196,In Progress,2025-08-26T05:40:59.918,2025-08-26T05:41:01.885
1196,In Progress,2025-08-26T05:41:01.885,2025-08-26T05:41:09.461
1196,In Progress,2025-08-26T05:41:09.500,2025-08-26T05:41:15.261
1196,In Progress,2025-08-26T05:41:15.261,2025-08-26T05:41:20.188
1196,Waiting for Customer,2025-08-26T05:41:20.188,2025-08-26T05:41:25.291
1196,Waiting for Customer,2025-08-26T05:41:25.291,2025-08-26T05:41:27.260
1196,Waiting for Customer,2025-08-26T05:43:13.304,2025-08-26T05:43:19.183
1196,Waiting for Customer,2025-08-26T05:43:19.183,2025-08-26T05:43:24.088
1196,Response Received,2025-08-26T05:43:24.088,2025-08-26T05:43:25.932
1196,Response Received,2025-08-26T05:43:26.116,2025-08-26T05:43:37.295
1196,Response Received,2025-08-26T05:43:37.486,2025-08-26T05:43:43.287
1196,Response Received,2025-08-26T05:43:43.287,2025-08-26T05:43:48.288
1196,Closed,2025-08-26T05:43:48.288,2025-08-26T05:43:49.961
1231,New,2025-08-26T09:16:27.345,2025-08-26T09:16:33.179
1231,New,2025-08-26T09:16:33.179,2025-08-26T09:16:38.201
1231,In Progress,2025-08-26T09:16:38.201,2025-08-26T09:16:41.837
1231,In Progress,2025-08-26T09:16:42.249,2025-08-26T09:16:43.610
1231,In Progress,2025-08-26T09:16:43.610,2025-08-26T09:16:45.469
1231,In Progress,2025-08-26T09:16:45.469,2025-08-26T09:16:50.996
1231,In Progress,2025-08-26T09:16:50.996,2025-08-26T09:16:51.807
1231,In Progress,2025-08-26T09:16:51.807,2025-08-26T09:16:57.237
1231,In Progress,2025-08-26T09:16:57.237,2025-08-26T09:16:58.237
1231,In Progress,2025-08-26T09:16:58.237,2025-08-26T09:17:00.895
1231,In Progress,2025-08-26T09:17:00.895,2025-08-26T09:17:01.513
1231,In Progress,2025-08-26T09:17:01.513,2025-08-26T09:17:04.054
1231,In Progress,2025-08-26T09:17:04.054,2025-08-26T09:17:09.071
1231,In Progress,2025-08-26T09:17:09.071,2025-08-26T09:17:11.898
1231,In Progress,2025-08-26T09:17:11.898,2025-08-26T09:17:13.178
