Case_ID,segment,seconds
1088,touch,237.719156
1088,wait,166.4034092
1160,touch,144.561654815
1160,wait,101.19315837049999
1128,touch,44.479623504
1128,wait,31.1357364528
1277,touch,110.238945563
1277,wait,77.1672618941
1079,touch,73.341352135
1079,wait,51.33894649449999
1209,touch,107.672704183
1209,wait,75.37089292809999
1254,touch,83.207183439
1254,wait,58.2450284073
1288,touch,96.67868452399998
1288,wait,67.67507916679997
1198,touch,76.312506711
1198,wait,53.418754697699995
1284,touch,120.9984632
1284,wait,84.69892424
1212,touch,115.367789512
1212,wait,80.7574526584
1089,touch,195.72698260299998
1089,wait,137.00888782209998
1256,touch,115.70083479200002
1256,wait,80.99058435440001
1092,touch,93.706257875
1092,wait,65.5943805125
1188,touch,30.165419372
1188,wait,21.115793560399997
1292,touch,136.71431575099996
1292,wait,95.70002102569997
1091,touch,157.692572928
1091,wait,110.3848010496
1163,touch,127.499903321
1163,wait,89.2499323247
1167,touch,148.13545205999998
1167,wait,103.69481644199998
1061,touch,40.697104517999996
1061,wait,28.487973162599996
1177,touch,146.00374314500002
1177,wait,102.20262020150001
1062,touch,83.398482578
1062,wait,58.37893780459999
1168,touch,72.422184972
1168,wait,50.6955294804
1228,touch,79.329753126
1228,wait,55.5308271882
1095,touch,175.28426362099998
1095,wait,122.69898453469997
1272,touch,102.39123630199998
1272,wait,71.67386541139999
1080,touch,72.173869391
1080,wait,50.521708573699996
1213,touch,92.727768433
1213,wait,64.9094379031
1172,touch,113.792099115
1172,wait,79.65446938049999
1232,touch,136.190705506
1232,wait,95.3334938542
1098,touch,133.911059271
1098,wait,93.7377414897
1161,touch,107.18923207099999
1161,wait,75.03246244969999
1175,touch,83.570562962
1175,wait,58.49939407339999
1122,touch,228.715776627
1122,wait,160.1010436389
1147,touch,65.40047823900001
1147,wait,45.780334767300005
1189,touch,105.27122129400001
1189,wait,73.6898549058
1278,touch,82.769078722
1278,wait,57.9383551054
1116,touch,95.051690541
1116,wait,66.5361833787
1241,touch,64.17944714000001
1241,wait,44.925612998000005
1283,touch,90.29308183299999
1283,wait,63.205157283099986
1063,touch,43.10735811599999
1063,wait,30.175150681199995
1072,touch,179.81242005400003
1072,wait,125.86869403780001
1084,touch,165.608733241
1084,wait,115.92611326869999
1182,touch,76.75309677799999
1182,wait,53.72716774459999
1185,touch,73.041717587
1185,wait,51.12920231089999
1210,touch,75.56696253199999
1210,wait,52.89687377239999
1227,touch,92.41682941900001
1227,wait,64.69178059330001
1074,touch,82.712189561
1074,wait,57.898532692699995
1171,touch,141.553446284
1171,wait,99.08741239879998
1140,touch,114.730066188
1140,wait,80.3110463316
1225,touch,63.189743276
1225,wait,44.2328202932
1285,touch,75.26501933200001
1285,wait,52.6855135324
1214,touch,111.85923778099999
1214,wait,78.30146644669999
1275,touch,28.859923502
1275,wait,20.201946451399998
1274,touch,96.870960173
1274,wait,67.8096721211
1153,touch,49.16475694099999
1153,wait,34.41532985869999
1243,touch,110.24585201
1243,wait,77.17209640699998
1138,touch,122.243672821
1138,wait,85.5705709747
1149,touch,50.372529447999995
1149,wait,35.260770613599995
1269,touch,71.52812647799999
1269,wait,50.06968853459999
1184,touch,136.37046407600002
1184,wait,95.4593248532
1271,touch,127.70864633599999
1271,wait,89.39605243519999
950,touch,0.0
950,wait,0.0
1201,touch,135.03931288299998
1201,wait,94.52751901809998
1142,touch,48.168447517
1142,wait,33.717913261899994
1106,touch,142.34929149900003
1106,wait,99.64450404930001
1197,touch,84.093107088
1197,wait,58.86517496159999
1270,touch,217.37753623199998
1270,wait,152.1642753624
1251,touch,151.297963828
1251,wait,105.9085746796
1162,touch,92.225328558
1162,wait,64.5577299906
1069,touch,167.764295913
1069,wait,117.4350071391
1102,touch,89.754495324
1102,wait,62.8281467268
1187,touch,96.09339077799999
1187,wait,67.26537354459998
1120,touch,178.91706449100002
1120,wait,125.24194514370001
1242,touch,72.067887534
1242,wait,50.44752127379999
1075,touch,69.82432455600001
1075,wait,48.8770271892
1082,touch,148.694128501
1082,wait,104.0858899507
1233,touch,85.87906093800001
1233,wait,60.1153426566
1190,touch,104.43855780800001
1190,wait,73.1069904656
1194,touch,63.460667551
1194,wait,44.422467285699994
1202,touch,100.491886453
1202,wait,70.3443205171
1169,touch,87.08829358999999
1169,wait,60.96180551299999
1181,touch,153.61728212000003
1181,wait,107.53209748400002
1086,touch,47.21304001
1086,wait,33.049128007
1226,touch,60.99524628499999
1226,wait,42.696672399499995
1155,touch,60.64905445200001
1155,wait,42.4543381164
1257,touch,69.45561097699999
1257,wait,48.61892768389999
1199,touch,100.78130622399999
1199,wait,70.54691435679999
1107,touch,78.984557667
1107,wait,55.2891903669
986,touch,222.2715352
986,wait,155.59007463999998
1071,touch,76.412884163
1071,wait,53.4890189141
1125,touch,92.26942235199999
1125,wait,64.5885956464
1166,touch,123.99262786199999
1166,wait,86.79483950339998
1165,touch,79.883555564
1165,wait,55.9184888948
1230,touch,85.29667501099999
1230,wait,59.70767250769999
1085,touch,60.310507483
1085,wait,42.2173552381
1219,touch,59.87389919099999
1219,wait,41.91172943369999
1200,touch,73.61888794100001
1200,wait,51.533221558700006
1193,touch,64.04312816800001
1193,wait,44.83018971760001
1265,touch,63.24404799999999
1265,wait,44.27083359999999
